ID,LLM,Ratio_VD_S,Ratio_Nom,Ratio_LW_S,av_nominal_deps_NN,cl_av_deps,nn_all_nominal_deps_NN_struct,volume,abundance,mattr_50,evenness_50,disparity,dispersion_per_100,QWE_Score,BERTScore_F1
lyrics00000,Gemini,0.875,2.0,0.5,1.55555555556,2.54838709677,0.0246913580247,281,150,0.770431,0.962325,1.060345,7.829181,0.7751,0.8302
lyrics00001,Gemini,0.9167,1.5333,0.4167,1.47368421053,2.45714285714,0.0263157894737,275,151,0.766814,0.96162,1.067227,12.0,0.8071,0.8401
lyrics00002,Gemini,0.7857,2.56,0.3571,1.88888888889,2.4,0.0185185185185,217,128,0.797619,0.968834,1.032362,9.21659,0.7452,0.8062
lyrics00003,Gemini,0.6667,1.2903,0.5556,1.78723404255,2.22727272727,0.0,173,109,0.801774,0.969641,1.089286,7.514451,0.77,0.8196
lyrics00004,Gemini,0.5,2.2703,0.5,1.6875,2.4375,0.0125,287,156,0.793109,0.95436,1.061983,4.529617,0.8138,0.8384
lyrics00005,Gemini,1.0,1.8,0.5714,1.7,2.78947368421,0.0,177,93,0.736875,0.953478,1.026667,8.474576,0.6544,0.8287
lyrics00006,Gemini,0.9091,1.7576,0.6364,1.41071428571,2.625,0.0178571428571,206,107,0.724968,0.948031,1.05,11.165049,0.7468,0.8272
lyrics00007,Gemini,0.8333,2.6,0.8333,1.625,2.76923076923,0.025,139,84,0.758444,0.951814,1.031746,5.035971,0.8536,0.8459
lyrics00008,Gemini,1.0,3.4444,0.6667,1.53125,3.0,0.0,110,71,0.754098,0.964589,1.075472,8.181818,0.8155,0.8507
lyrics00009,Gemini,0.7,1.7188,0.5,1.77777777778,2.23076923077,0.037037037037,205,122,0.784103,0.96824,1.014851,9.268293,0.7756,0.8164
lyrics00010,Gemini,0.5,2.1786,0.5,1.50819672131,2.69230769231,0.0327868852459,219,122,0.778471,0.966957,1.022472,8.219178,0.8582,0.8557
lyrics00011,Gemini,1.0,1.8889,0.875,1.46296296296,2.47619047619,0.0,185,112,0.766324,0.952709,1.069767,7.027027,0.6607,0.7937
lyrics00012,Gemini,1.0,3.0588,0.8333,1.56862745098,2.82352941176,0.0392156862745,165,106,0.772759,0.94284,1.022472,4.242424,0.7363,0.8012
lyrics00013,Gemini,1.0,1.75,0.4286,1.53333333333,2.625,0.0666666666667,125,83,0.801579,0.97409,1.059322,8.8,0.7753,0.8438
lyrics00014,Gemini,1.0,1.3721,1.1,1.61403508772,2.5,0.0,230,124,0.810166,0.975642,1.020408,10.0,0.7441,0.8119
lyrics00015,Gemini,0.75,1.9697,0.625,1.69841269841,2.54545454545,0.0634920634921,217,131,0.780357,0.963505,1.0,5.990783,0.7866,0.8335
lyrics00016,Gemini,1.0,2.1111,0.8571,1.63157894737,2.45454545455,0.0,221,141,0.788023,0.96808,1.038835,7.692308,0.7587,0.8256
lyrics00017,Gemini,0.9167,1.8293,0.5,1.64615384615,2.0,0.0,234,121,0.71827,0.946539,1.042553,9.401709,0.8177,0.8365
lyrics00018,Gemini,0.6429,1.8125,0.4286,1.54716981132,2.29166666667,0.0,209,117,0.76375,0.968179,1.0,9.569378,0.6987,0.8232
lyrics00019,Gemini,0.9,1.8,0.8,1.63157894737,3.09523809524,0.0175438596491,217,127,0.79381,0.969059,1.020202,6.451613,0.8243,0.8443
lyrics00020,Gemini,0.8333,2.4444,0.5833,1.77966101695,2.64,0.0169491525424,236,153,0.811551,0.971678,1.04918,6.355932,0.8044,0.8258
lyrics00021,Gemini,0.7333,1.5312,0.4,1.41176470588,2.19230769231,0.0,179,112,0.779385,0.966505,1.047059,7.821229,0.8488,0.842
lyrics00022,Gemini,0.9,1.7576,0.6,1.60317460317,2.73913043478,0.015873015873,219,121,0.784588,0.969253,1.020408,8.219178,0.8285,0.8411
lyrics00023,Gemini,1.0,1.5897,0.7,1.39655172414,2.72413793103,0.0172413793103,226,131,0.772994,0.96004,1.075269,9.734513,0.8088,0.8476
lyrics00024,Gemini,0.7692,1.5957,0.6923,1.525,2.63333333333,0.0,280,145,0.783896,0.962723,1.04386,7.857143,0.7451,0.8278
lyrics00025,Gemini,1.0,1.963,0.6,1.45454545455,2.39130434783,0.0,198,99,0.71557,0.950045,1.05,10.10101,0.6789,0.7976
lyrics00026,Gemini,0.6667,1.8261,0.75,1.59259259259,2.73529411765,0.0493827160494,290,163,0.781245,0.960197,1.031008,7.586207,0.8035,0.842
lyrics00027,Gemini,0.9333,1.283,0.7333,1.48529411765,2.5,0.0,279,155,0.813739,0.974205,1.017094,9.677419,0.682,0.8103
lyrics00028,Gemini,0.7273,1.963,0.4545,1.55555555556,2.54545454545,0.0,187,106,0.75913,0.962308,1.024691,8.55615,0.8074,0.8329
lyrics00029,Gemini,0.7778,2.3913,0.5556,1.55102040816,2.16666666667,0.0204081632653,184,100,0.730963,0.953267,1.027397,10.326087,0.8178,0.8449
lyrics00030,Gemini,0.4286,1.8065,0.8571,1.68421052632,2.19047619048,0.0,203,113,0.73026,0.94384,1.06044,6.896552,0.8289,0.8306
lyrics00031,Gemini,1.0,2.0,0.4286,1.55263157895,2.75,0.0263157894737,152,91,0.759417,0.964084,1.030769,9.210526,0.8228,0.8334
lyrics00032,Gemini,1.0,1.8947,0.7143,1.72972972973,2.64285714286,0.0,141,88,0.785435,0.970007,1.029851,9.929078,0.6769,0.8196
lyrics00033,Gemini,0.7143,2.08,0.8571,1.72916666667,2.66666666667,0.0208333333333,170,113,0.791736,0.955369,1.061111,5.294118,0.821,0.8633
lyrics00034,Gemini,1.0,1.56,0.4286,1.86842105263,2.5,0.0,146,93,0.767423,0.962911,1.0,8.219178,0.7095,0.8245
lyrics00035,Gemini,0.8462,1.7667,0.3846,1.7962962963,2.54166666667,0.037037037037,208,123,0.757107,0.963114,1.020202,8.653846,0.6495,0.8163
lyrics00036,Gemini,0.8667,1.7736,0.6,1.62765957447,2.55813953488,0.0106382978723,351,170,0.781788,0.967367,1.062937,8.831909,0.7157,0.7958
lyrics00037,Gemini,0.8,2.0769,0.7,1.4625,2.5,0.0,257,134,0.722115,0.940746,1.036036,7.392996,0.6926,0.8047
lyrics00038,Gemini,1.0,1.7073,0.9091,1.58441558442,2.74285714286,0.012987012987,288,173,0.802762,0.972141,1.058394,9.027778,0.6256,0.8022
lyrics00039,Gemini,0.5714,2.4706,1.0,1.70588235294,2.23076923077,0.0,142,85,0.806667,0.962528,1.030303,6.338028,0.6531,0.7988
lyrics00040,Gemini,0.875,1.2903,0.375,1.5,2.625,0.0238095238095,175,97,0.751905,0.959826,1.027027,9.142857,0.6079,0.8045
lyrics00041,Gemini,0.7778,1.9545,0.5556,1.58695652174,2.35294117647,0.0,157,88,0.720185,0.950533,1.028571,9.55414,0.6587,0.7992
lyrics00042,Gemini,0.6,1.8077,0.4,1.60674157303,1.94736842105,0.0449438202247,306,167,0.776498,0.961307,1.030303,8.169935,0.685,0.7991
lyrics00043,Gemini,0.8,1.5854,0.6,1.50704225352,2.77419354839,0.0281690140845,249,140,0.7876,0.969503,1.018692,10.040161,0.7594,0.8182
lyrics00044,Gemini,0.7857,1.7105,0.5714,1.80769230769,2.2,0.115384615385,214,118,0.779152,0.960046,1.055556,7.009346,0.7861,0.8373
